      city  P31_Q208511  P31_Q2264924  P31_Q1093829  P31_Q515  P31_Q1549591  P31_Q51929311  P31_Q1637706  P31_Q5119  P31_Q3301053  P31_Q3559093  P31_Q13218391  P31_Q62049  P31_Q1266818  P31_Q21518270  P31_Q1074523  P31_Q76514543  P31_Q902814  P131_Q1166  P131_Q1204  P131_Q1223  P131_Q1384  P131_Q1391  P131_Q1415  P131_Q1428  P131_Q1439  P131_Q3551781  P131_Q812  P131_Q99  P421_Q2086913  P421_Q5762  P421_Q847142  P421_Q941023  P571_DURING_1600S  P571_DURING_1700S  P571_DURING_1800S  P571_DURING_1900S  P1082_BETWEEN_100000_AND_500000  P1082_BETWEEN_1000_AND_500000  P1082_BETWEEN_500000_AND_1MIL  P1082_MORE_THAN_5_MIL  P2046_BETWEEN_1000_AND_1500  P2046_BETWEEN_100_AND_500  P2046_BETWEEN_500_AND_1000  P2046_OVER_1500  P2046_UNDER_100
0      Q60            1             1             1         1             1              1             1          0             0             0              0           0             0              0             0              0            0         0.0         0.0         0.0         1.0         0.0         0.0         0.0         0.0            0.0        0.0       0.0            0.0         0.0           0.0           1.0                1.0                0.0                0.0                0.0                              0.0                            0.0                            0.0                    1.0                          1.0                        0.0                         0.0              0.0              0.0
1      Q61            0             0             1         0             1              0             0          1             0             0              0           0             0              0             0              0            0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0            1.0        0.0       0.0            0.0         0.0           0.0           1.0                0.0                1.0                0.0                0.0                              0.0                            0.0                            1.0                    0.0                          0.0                        1.0                         0.0              0.0              0.0
2      Q62            0             0             1         1             1              0             0          0             1             1              1           0             0              0             0              0            0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0            0.0        0.0       1.0            0.0         0.0           1.0           0.0                0.0                1.0                0.0                0.0                              0.0                            0.0                            1.0                    0.0                          0.0                        0.0                         1.0              0.0              0.0
3      Q65            0             0             1         0             1              0             1          0             0             0              1           1             0              0             0              0            0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0            0.0        0.0       1.0            0.0         0.0           1.0           0.0                0.0                1.0                0.0                0.0                              0.0                            0.0                            0.0                    1.0                          1.0                        0.0                         0.0              0.0              0.0
4     Q975            0             0             1         0             1              0             1          0             0             0              0           0             0              0             0              0            0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         1.0            0.0        0.0       0.0            1.0         0.0           0.0           0.0                0.0                1.0                0.0                0.0                              0.0                            0.0                            0.0                    1.0                          1.0                        0.0                         0.0              0.0              0.0
5    Q1297            0             0             1         0             1              0             1          0             0             0              0           0             0              0             0              0            0         0.0         1.0         0.0         0.0         0.0         0.0         0.0         0.0            0.0        0.0       0.0            1.0         0.0           0.0           0.0                0.0                0.0                1.0                0.0                              0.0                            0.0                            0.0                    1.0                          0.0                        0.0                         1.0              0.0              0.0
6    Q5083            0             0             1         0             1              0             0          0             0             0              0           1             0              0             0              0            0         0.0         0.0         1.0         0.0         0.0         0.0         0.0         0.0            0.0        0.0       0.0            0.0         0.0           1.0           0.0                0.0                0.0                1.0                0.0                              0.0                            0.0                            1.0                    0.0                          0.0                        1.0                         0.0              0.0              0.0
7    Q5092            0             0             1         0             1              0             0          0             0             0              0           0             1              0             0              0            0         0.0         0.0         0.0         0.0         1.0         0.0         0.0         0.0            0.0        0.0       0.0            0.0         0.0           0.0           1.0                0.0                1.0                0.0                0.0                              0.0                            0.0                            1.0                    0.0                          0.0                        1.0                         0.0              0.0              0.0
8    Q5917            0             0             1         0             1              0             0          0             0             0              1           0             0              0             0              0            0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0            0.0        0.0       1.0            0.0         0.0           0.0           0.0                0.0                0.0                0.0                1.0                              1.0                            0.0                            0.0                    0.0                          0.0                        0.0                         0.0              0.0              1.0
9    Q6346            0             0             1         0             1              0             0          0             0             0              0           1             0              1             1              0            0         0.0         0.0         0.0         0.0         0.0         1.0         0.0         0.0            0.0        0.0       0.0            0.0         1.0           0.0           0.0                0.0                0.0                1.0                0.0                              0.0                            0.0                            1.0                    0.0                          0.0                        0.0                         1.0              0.0              0.0
10   Q6580            0             0             1         0             0              0             0          0             0             0              0           1             0              0             0              1            0         0.0         0.0         0.0         0.0         0.0         0.0         1.0         0.0            0.0        0.0       0.0            0.0         0.0           0.0           0.0                0.0                0.0                1.0                0.0                              0.0                            1.0                            0.0                    0.0                          0.0                        0.0                         0.0              0.0              1.0
11   Q6586            0             0             1         0             0              0             0          0             0             0              0           0             0              0             0              0            0         0.0         0.0         0.0         1.0         0.0         0.0         0.0         0.0            0.0        0.0       0.0            0.0         0.0           0.0           1.0                0.0                0.0                1.0                0.0                              0.0                            1.0                            0.0                    0.0                          0.0                        1.0                         0.0              0.0              0.0
12   Q8652            0             0             1         0             1              0             0          0             0             0              0           0             0              0             0              0            0         0.0         0.0         0.0         0.0         0.0         0.0         0.0         0.0            0.0        1.0       0.0            0.0         0.0           0.0           1.0                0.0                0.0                1.0                0.0                              1.0                            0.0                            0.0                    0.0                          0.0                        0.0                         0.0              1.0              0.0
